data_bruh_jack\cam2_pose\cam2_20241016_003707_0053.png [[180, 119], [185, 114], [174, 112], [155, 112], [194, 167], [127, 156], [206, 220], [104, 207], [223, 263], [75, 255], [181, 273], [137, 269], [179, 350], [130, 348], [171, 426], [119, 430]]
data_bruh_jack\cam2_pose\cam2_20241016_003707_0054.png [[179, 119], [184, 114], [173, 111], [154, 112], [193, 167], [127, 156], [205, 219], [103, 207], [222, 263], [74, 255], [181, 273], [137, 269], [179, 349], [130, 348], [171, 426], [118, 431]]
data_bruh_jack\cam2_pose\cam2_20241016_003707_0055.png [[178, 119], [183, 114], [172, 112], [153, 112], [191, 167], [125, 156], [203, 221], [101, 208], [221, 263], [74, 256], [180, 274], [136, 270], [179, 348], [129, 348], [171, 426], [118, 432]]
data_bruh_jack\cam2_pose\cam2_20241016_003707_0056.png [[176, 119], [181, 114], [170, 112], [151, 112], [189, 167], [124, 156], [202, 221], [100, 208], [220, 263], [72, 258], [179, 275], [135, 272], [178, 349], [128, 351], [171, 426], [118, 432]]
data_bruh_jack\cam2_pose\cam2_20241016_003707_0057.png [[175, 119], [179, 114], [169, 112], [149, 112], [187, 167], [121, 156], [200, 220], [98, 209], [218, 263], [71, 258], [178, 275], [134, 271], [178, 348], [127, 351], [171, 425], [118, 433]]
data_bruh_jack\cam2_pose\cam2_20241016_003707_0058.png [[173, 119], [178, 114], [166, 111], [147, 111], [185, 167], [119, 156], [199, 219], [96, 209], [216, 261], [70, 258], [176, 275], [131, 271], [177, 347], [126, 349], [170, 425], [118, 433]]
data_bruh_jack\cam2_pose\cam2_20241016_003708_0059.png [[171, 118], [176, 114], [164, 111], [145, 111], [183, 166], [117, 156], [197, 220], [94, 210], [215, 261], [68, 258], [175, 274], [130, 270], [176, 347], [125, 350], [170, 425], [118, 433]]
data_bruh_jack\cam2_pose\cam2_20241016_003708_0060.png [[165, 116], [170, 111], [158, 109], [139, 109], [177, 165], [111, 154], [192, 218], [89, 209], [211, 260], [64, 258], [170, 272], [125, 270], [173, 348], [122, 351], [169, 424], [118, 433]]
data_bruh_jack\cam2_pose\cam2_20241016_003708_0061.png [[163, 116], [169, 111], [157, 108], [138, 109], [176, 165], [110, 153], [191, 218], [88, 208], [210, 260], [64, 258], [170, 273], [125, 272], [172, 348], [122, 351], [167, 423], [118, 433]]
data_bruh_jack\cam2_pose\cam2_20241016_003708_0062.png [[163, 115], [168, 111], [157, 108], [137, 108], [176, 164], [109, 153], [190, 218], [88, 208], [209, 260], [64, 258], [169, 272], [125, 271], [171, 348], [122, 351], [166, 423], [118, 432]]
data_bruh_jack\cam2_pose\cam2_20241016_003708_0063.png [[163, 115], [168, 111], [157, 108], [137, 108], [175, 164], [109, 153], [190, 218], [88, 208], [208, 260], [64, 258], [169, 273], [125, 271], [170, 348], [122, 352], [164, 423], [118, 433]]
